file permission,absolute url,file type
(-rw-r--r--),http://substack.net/images/tacodb_platedb.png,png
(-rw-r--r--),http://substack.net/images/tacodb_logo.png,png
(-rw-r--r--),http://substack.net/images/tacodb.svg,svg
(-rw-r--r--),http://substack.net/images/tacodb.png,png
(-rw-r--r--),http://substack.net/images/taco_conf_front.svg,svg
(-rw-r--r--),http://substack.net/images/taco_conf_date.png,png
(-rw-r--r--),http://substack.net/images/taco_conf_back.svg,svg
(-rw-r--r--),http://substack.net/images/taco_conf.png,png
(-rw-r--r--),http://substack.net/images/taco.svg,svg
(-rw-r--r--),http://substack.net/images/taco.png,png
(-rw-r--r--),http://substack.net/images/t-rex.svg,svg
(-rw-r--r--),http://substack.net/images/t-rex.png,png
(-rw-r--r--),http://substack.net/images/swoop.svg,svg
(-rw-r--r--),http://substack.net/images/swoop.png,png
(-rw-r--r--),http://substack.net/images/substackistan.png,png
(-rw-r--r--),http://substack.net/images/substack_pixel.svg,svg
(-rw-r--r--),http://substack.net/images/substack_monochrome.png,png
(-rw-r--r--),http://substack.net/images/substack_monochrome.jpg,jpg
(-rw-r--r--),http://substack.net/images/substack_header_letters.png,png
(-rw-r--r--),http://substack.net/images/substack_header.svg,svg
(-rw-r--r--),http://substack.net/images/substack_compute.jpg,jpg
(-rw-r--r--),http://substack.net/images/substack_compute.an8,an8
(-rw-r--r--),http://substack.net/images/substack_angry.png,png
(-rw-r--r--),http://substack.net/images/substack_240.png,png
(-rw-r--r--),http://substack.net/images/substack.svg,svg
(-rw-r--r--),http://substack.net/images/substack.png,png
(-rw-r--r--),http://substack.net/images/substack.gif,gif
(-rw-r--r--),http://substack.net/images/soundcloud.png,png
(-rw-r--r--),http://substack.net/images/sound_of_a_voice.svg,svg
(-rw-r--r--),http://substack.net/images/sound_of_a_voice.png,png
(-rw-r--r--),http://substack.net/images/sky_cake.svg,svg
(-rw-r--r--),http://substack.net/images/sky_cake.png,png
(-rw-r--r--),http://substack.net/images/singsong.png,png
(-rw-r--r--),http://substack.net/images/sillyscope_spectrogram.png,png
(-rw-r--r--),http://substack.net/images/shoe.svg,svg
(-rw-r--r--),http://substack.net/images/shoe.png,png
(-rw-r--r--),http://substack.net/images/shader_emulation_taurus.png,png
(-rw-r--r--),http://substack.net/images/sesame.svg,svg
(-rw-r--r--),http://substack.net/images/sesame.png,png
(-rw-r--r--),http://substack.net/images/separation_of_concerns.svg,svg
(-rw-r--r--),http://substack.net/images/separation_of_concerns.png,png
(-rw-r--r--),http://substack.net/images/self_big.jpg,jpg
(-rw-r--r--),http://substack.net/images/self.svg,svg
(-rw-r--r--),http://substack.net/images/self.png,png
(-rw-r--r--),http://substack.net/images/self.jpg,jpg
(-rw-r--r--),http://substack.net/images/secure_peer_logo.svg,svg
(-rw-r--r--),http://substack.net/images/secure_peer_logo.png,png
(-rw-r--r--),http://substack.net/images/seaport_logo.svg,svg
(-rw-r--r--),http://substack.net/images/seaport_logo.png,png
(-rw-r--r--),http://substack.net/images/seaport.svg,svg
(-rw-r--r--),http://substack.net/images/seaport.png,png
(-rw-r--r--),http://substack.net/images/scuttlebutt.svg,svg
(-rw-r--r--),http://substack.net/images/scuttlebutt.png,png
(-rw-r--r--),http://substack.net/images/school_of_fish.svg,svg
(-rw-r--r--),http://substack.net/images/school_of_fish.png,png
(-rw-r--r--),http://substack.net/images/saucer_pending.svg,svg
